Epoch,Use,MagStim_Setting,MEPAmpl_uVPp,PreStimEmg_100ms,MonitorEMGval,GoalEMG,GoalEMGmin,GoalEMGmax
1,1,36,384.011469,NaN,NaN,70,53,88
2,1,36,264.875478,NaN,NaN,70,53,88
3,1,36,489.62631,NaN,NaN,70,53,88
4,1,36,546.404818,NaN,NaN,70,53,88
5,1,36,526.56425,NaN,NaN,70,53,88
6,1,36,788.133051,NaN,NaN,70,53,88
7,1,36,955.959913,NaN,NaN,70,53,88
8,1,36,494.343176,NaN,NaN,70,53,88
9,1,36,736.512456,NaN,NaN,70,53,88
10,1,36,109.972487,NaN,NaN,70,53,88
11,1,36,561.271513,NaN,NaN,70,53,88
12,1,36,108.086129,NaN,NaN,70,53,88
13,1,36,134.685074,NaN,NaN,70,53,88
14,1,36,107.818879,NaN,NaN,70,53,88
15,1,36,795.703876,NaN,NaN,70,53,88
16,1,36,397.090523,NaN,NaN,70,53,88
17,1,36,164.478729,NaN,NaN,70,53,88
18,1,36,248.079408,NaN,NaN,70,53,88
19,1,36,515.021567,NaN,NaN,70,53,88
20,1,36,90.16195,NaN,NaN,70,53,88
21,1,36,624.483549,NaN,NaN,70,53,88
22,1,36,766.775583,NaN,NaN,70,53,88
23,1,36,146.371922,NaN,NaN,70,53,88
24,1,36,108.473861,NaN,NaN,70,53,88
25,1,36,782.915791,NaN,NaN,70,53,88
26,1,36,740.090832,NaN,NaN,70,53,88
27,1,36,465.70373,NaN,NaN,70,53,88
28,1,36,283.926605,NaN,NaN,70,53,88
29,1,36,570.782253,NaN,NaN,70,53,88
30,1,36,609.332882,NaN,NaN,70,53,88
31,1,36,900.189826,NaN,NaN,70,53,88
32,1,36,204.841108,NaN,NaN,70,53,88
33,1,36,214.472295,NaN,NaN,70,53,88
34,1,36,258.080072,NaN,NaN,70,53,88
35,1,36,720.618251,NaN,NaN,70,53,88
36,1,36,266.818298,NaN,NaN,70,53,88
37,1,36,284.117117,NaN,NaN,70,53,88
38,1,36,828.684513,NaN,NaN,70,53,88
39,1,36,422.366337,NaN,NaN,70,53,88
40,1,48,932.209536,NaN,NaN,70,53,88
41,1,48,6.179417,NaN,NaN,70,53,88
42,1,48,403.980601,NaN,NaN,70,53,88
43,1,48,414.628128,NaN,NaN,70,53,88
44,1,48,231.160373,NaN,NaN,70,53,88
45,1,48,118.492133,NaN,NaN,70,53,88
46,1,48,110.61701,NaN,NaN,70,53,88
47,1,48,108.959659,NaN,NaN,70,53,88
48,1,48,288.197687,NaN,NaN,70,53,88
49,1,48,344.204243,NaN,NaN,70,53,88
50,1,48,67.520145,NaN,NaN,70,53,88
51,1,48,613.428714,NaN,NaN,70,53,88
52,1,48,243.922357,NaN,NaN,70,53,88
53,1,48,226.401729,NaN,NaN,70,53,88
54,1,48,899.912493,NaN,NaN,70,53,88
55,1,48,98.347076,NaN,NaN,70,53,88
56,1,48,400.235976,NaN,NaN,70,53,88
57,1,48,81.207196,NaN,NaN,70,53,88
58,1,48,128.004919,NaN,NaN,70,53,88
59,1,48,300.778257,NaN,NaN,70,53,88
60,1,48,307.174393,NaN,NaN,70,53,88
61,1,48,178.396883,NaN,NaN,70,53,88
